Date,Open,High,Low,Close,Adj Close,Volume
2022-12-30,0.007367,0.007393,0.007166,0.007248,0.007248,987746
2022-12-31,0.007253,0.007602,0.006836,0.007263,0.007263,4961672
2023-01-01,0.007258,0.009066,0.007253,0.007952,0.007952,26194549
2023-01-02,0.007939,0.007954,0.007605,0.007725,0.007725,6085827
2023-01-03,0.007726,0.007770,0.007529,0.007578,0.007578,2940716
2023-01-04,0.007579,0.007698,0.007529,0.007602,0.007602,2095231
2023-01-05,0.007612,0.007659,0.007490,0.007525,0.007525,1932936
2023-01-06,0.007519,0.007578,0.007323,0.007531,0.007531,2941346
2023-01-07,0.007527,0.008057,0.007461,0.007583,0.007583,3704803
2023-01-08,0.007585,0.007664,0.007473,0.007651,0.007651,1389569
2023-01-09,0.007653,0.008034,0.007628,0.007886,0.007886,3383359
2023-01-10,0.007884,0.008191,0.007876,0.008147,0.008147,3633091
2023-01-11,0.008144,0.008250,0.008005,0.008250,0.008250,2230605
2023-01-12,0.008287,0.008417,0.008183,0.008344,0.008344,2130573
2023-01-13,0.008345,0.008808,0.008299,0.008795,0.008795,2593898
2023-01-14,0.008795,0.009361,0.008789,0.009259,0.009259,5018897
2023-01-15,0.009262,0.009576,0.009194,0.009343,0.009343,9836678
2023-01-16,0.009349,0.009499,0.009239,0.009441,0.009441,3485875
2023-01-17,0.009440,0.009935,0.009367,0.009709,0.009709,4780764
2023-01-18,0.009705,0.009846,0.009209,0.009239,0.009239,4497111
2023-01-19,0.009239,0.009606,0.009239,0.009584,0.009584,3738316
2023-01-20,0.009584,0.010074,0.009390,0.010068,0.010068,2837587
2023-01-21,0.010078,0.010344,0.010031,0.010289,0.010289,3806174
2023-01-22,0.010292,0.010457,0.010125,0.010294,0.010294,2803531
2023-01-23,0.010292,0.010380,0.010162,0.010358,0.010358,2943448
2023-01-24,0.010361,0.010678,0.010077,0.010204,0.010204,9724578
2023-01-25,0.010206,0.010463,0.009879,0.010331,0.010331,13129604
2023-01-26,0.010328,0.010416,0.010203,0.010293,0.010293,4588008
2023-01-27,0.010296,0.010806,0.010146,0.010718,0.010718,8631938
2023-01-28,0.010718,0.010729,0.010481,0.010590,0.010590,2967262
2023-01-29,0.010589,0.010790,0.010538,0.010732,0.010732,3102298
2023-01-30,0.010727,0.010744,0.009835,0.009911,0.009911,4490547
2023-01-31,0.009905,0.010008,0.009804,0.009859,0.009859,3223907
2023-02-01,0.009860,0.010248,0.009697,0.010214,0.010214,5446958
2023-02-02,0.010213,0.010600,0.010198,0.010323,0.010323,4067398
2023-02-03,0.010308,0.011269,0.010308,0.011022,0.011022,15038142
2023-02-04,0.011027,0.011311,0.010875,0.011259,0.011259,5623770
2023-02-05,0.011266,0.011913,0.010941,0.011294,0.011294,17023776
2023-02-06,0.011306,0.011409,0.011179,0.011274,0.011274,6016397
2023-02-07,0.011272,0.011537,0.011005,0.011502,0.011502,4771242
2023-02-08,0.011506,0.012106,0.011396,0.011531,0.011531,19379297
2023-02-09,0.011538,0.012234,0.010583,0.010624,0.010624,30934350
2023-02-10,0.010627,0.010731,0.010421,0.010608,0.010608,3691308
2023-02-11,0.010602,0.010749,0.010470,0.010712,0.010712,2126868
2023-02-12,0.010704,0.010843,0.010572,0.010648,0.010648,2567423
2023-02-13,0.010659,0.010660,0.009852,0.009957,0.009957,3654160
2023-02-14,0.009962,0.010369,0.009842,0.010334,0.010334,2231175
2023-02-15,0.010324,0.011111,0.010253,0.011084,0.011084,5805291
2023-02-16,0.011085,0.012443,0.011052,0.011052,0.011052,15255414
2023-02-17,0.011040,0.011473,0.010964,0.011423,0.011423,5243619
2023-02-18,0.011424,0.011664,0.011173,0.011465,0.011465,4340117
2023-02-19,0.011463,0.012280,0.011385,0.012239,0.012239,8127244
2023-02-20,0.012236,0.018269,0.012209,0.013050,0.013050,191666331
2023-02-21,0.013069,0.013703,0.012081,0.012118,0.012118,30875362
2023-02-22,0.012126,0.012155,0.011379,0.011807,0.011807,9117359
2023-02-23,0.011819,0.012367,0.011783,0.012041,0.012041,7291084
2023-02-24,0.012040,0.012117,0.011530,0.011774,0.011774,6781205
2023-02-25,0.011779,0.012120,0.011431,0.011643,0.011643,4776433
2023-02-26,0.011642,0.011968,0.011536,0.011968,0.011968,2843417
2023-02-27,0.011970,0.012274,0.011593,0.011726,0.011726,14644358
2023-02-28,0.011722,0.011726,0.011435,0.011448,0.011448,2880619
2023-03-01,0.011457,0.011776,0.011409,0.011695,0.011695,2724365
2023-03-02,0.011693,0.011716,0.011295,0.011434,0.011434,4058395
2023-03-03,0.011432,0.011443,0.010373,0.010498,0.010498,4394847
2023-03-04,0.010495,0.010740,0.010353,0.010449,0.010449,2506170
2023-03-05,0.010466,0.010635,0.010394,0.010488,0.010488,2029519
2023-03-06,0.010482,0.010531,0.010354,0.010420,0.010420,2082850
2023-03-07,0.010410,0.010591,0.010296,0.010360,0.010360,2840957
2023-03-08,0.010347,0.010408,0.009947,0.009947,0.009947,2466087
2023-03-09,0.009947,0.009956,0.008949,0.008986,0.008986,3228854
2023-03-10,0.008986,0.009175,0.008655,0.009043,0.009043,5358153
2023-03-11,0.009044,0.009357,0.008871,0.009100,0.009100,2325597
2023-03-12,0.009104,0.009744,0.008832,0.009744,0.009744,2639989
2023-03-13,0.009739,0.010547,0.009555,0.010349,0.010349,5098670
2023-03-14,0.010359,0.011013,0.010250,0.010929,0.010929,6340709
2023-03-15,0.010925,0.011562,0.010465,0.010637,0.010637,7903532
2023-03-16,0.010642,0.011722,0.010576,0.011641,0.011641,21467284
2023-03-17,0.011652,0.012242,0.011445,0.011890,0.011890,20038312
2023-03-18,0.011893,0.012014,0.011403,0.011415,0.011415,5963724
2023-03-19,0.011414,0.011578,0.011217,0.011502,0.011502,8057408
2023-03-20,0.011509,0.011682,0.011199,0.011250,0.011250,4381067
2023-03-21,0.011248,0.011289,0.010574,0.010846,0.010846,4421930
2023-03-22,0.010849,0.012720,0.010733,0.010814,0.010814,23539288
2023-03-23,0.010799,0.011187,0.010744,0.011038,0.011038,6204013
2023-03-24,0.011038,0.011058,0.010603,0.010687,0.010687,3775479
2023-03-25,0.010691,0.012594,0.010662,0.011135,0.011135,15982039
2023-03-26,0.011108,0.011353,0.010981,0.011067,0.011067,3353097
2023-03-27,0.011067,0.011090,0.010336,0.010439,0.010439,3914148
2023-03-28,0.010434,0.010454,0.010021,0.010370,0.010370,3118344
2023-03-29,0.010372,0.010992,0.010372,0.010857,0.010857,3408834
2023-03-30,0.010875,0.011010,0.010395,0.010603,0.010603,3367197
2023-03-31,0.010597,0.010829,0.010431,0.010748,0.010748,2195043
2023-04-01,0.010750,0.011273,0.010734,0.011026,0.011026,3568515
2023-04-02,0.011189,0.011189,0.010687,0.010809,0.010809,2238630
2023-04-03,0.010806,0.010815,0.010451,0.010646,0.010646,2242712
2023-04-04,0.010657,0.010916,0.010601,0.010884,0.010884,2072050
2023-04-05,0.010882,0.011321,0.010843,0.011314,0.011314,3801298
2023-04-06,0.011312,0.012188,0.011188,0.011480,0.011480,21397241
2023-04-07,0.011472,0.011507,0.010931,0.011028,0.011028,3081592
2023-04-08,0.011029,0.011262,0.010948,0.011056,0.011056,2588281
2023-04-09,0.011056,0.011219,0.010945,0.011173,0.011173,2002452
2023-04-10,0.011175,0.011579,0.011012,0.011459,0.011459,5232956
2023-04-11,0.011456,0.013744,0.011263,0.011293,0.011293,35855751
2023-04-12,0.011294,0.011355,0.010915,0.011087,0.011087,4287496
2023-04-13,0.011050,0.011299,0.011015,0.011297,0.011297,3884972
2023-04-14,0.011297,0.011439,0.011169,0.011417,0.011417,4095655
2023-04-15,0.011422,0.011679,0.011358,0.011419,0.011419,8621990
2023-04-16,0.011422,0.011662,0.011350,0.011501,0.011501,4349793
2023-04-17,0.011496,0.011555,0.011370,0.011422,0.011422,4804433
2023-04-18,0.011433,0.012037,0.011371,0.011845,0.011845,6200902
2023-04-19,0.011837,0.011849,0.011038,0.011086,0.011086,4925663
2023-04-20,0.011083,0.011177,0.010868,0.010920,0.010920,3772950
2023-04-21,0.010923,0.011171,0.010643,0.010688,0.010688,4561080
2023-04-22,0.010693,0.010838,0.010598,0.010827,0.010827,3006480
2023-04-23,0.010820,0.010832,0.010380,0.010621,0.010621,2253620
2023-04-24,0.010619,0.010729,0.010395,0.010499,0.010499,2726787
2023-04-25,0.010498,0.010612,0.010325,0.010589,0.010589,3409169
2023-04-26,0.010599,0.010991,0.010435,0.010704,0.010704,3407956
2023-04-27,0.010700,0.010906,0.010685,0.010835,0.010835,2884679
2023-04-28,0.010837,0.010850,0.010724,0.010819,0.010819,2419224
2023-04-29,0.010819,0.010952,0.010801,0.010926,0.010926,2962401
2023-04-30,0.010926,0.011093,0.010811,0.010813,0.010813,7625686
2023-05-01,0.010812,0.010840,0.010435,0.010486,0.010486,2701104
2023-05-02,0.010490,0.010571,0.010441,0.010515,0.010515,2289021
2023-05-03,0.010510,0.010527,0.010354,0.010488,0.010488,2702194
2023-05-04,0.010482,0.010628,0.010397,0.010557,0.010557,2611752
2023-05-05,0.010553,0.010717,0.010515,0.010660,0.010660,2089229
2023-05-06,0.010665,0.010749,0.010409,0.010473,0.010473,2474886
2023-05-07,0.010473,0.010548,0.010387,0.010437,0.010437,1989838
2023-05-08,0.010427,0.010451,0.009562,0.009684,0.009684,3110894
2023-05-09,0.009686,0.009804,0.009629,0.009728,0.009728,3675694
2023-05-10,0.009731,0.009914,0.009561,0.009872,0.009872,1925631
2023-05-11,0.009874,0.009877,0.009249,0.009407,0.009407,2264343
2023-05-12,0.009399,0.009399,0.008961,0.009345,0.009345,2357235
2023-05-13,0.009346,0.009383,0.009263,0.009292,0.009292,1344144
2023-05-14,0.009283,0.009388,0.009219,0.009268,0.009268,1146764
2023-05-15,0.009312,0.009464,0.009231,0.009415,0.009415,1362734
2023-05-16,0.009412,0.009675,0.009329,0.009619,0.009619,3081075
2023-05-17,0.009623,0.009659,0.009423,0.009654,0.009654,2160839
